Comp ,Target MS,ALogP,R6,R1,R2,RT (sec),%T1,%R1,Papp1,%T2,%R2,Papp2,%T3,%R3,Papp3,Ave_%R,SD_%R,Ave_Papp,SD_Papp,Ave LogPapp
1.9-22,826.486,4.81,A09,Phe,A13,271,1.7,18.8,0.14,1.1,15.7,0.09,1.1,20.3,0.09,18.25,2.37,0.11,0.03,-6.97
1.9-23,827.539,2.62,A09,Leu,A20,247,18.1,57.6,1.62,25.3,58.7,2.36,21.1,65.9,1.91,60.72,4.51,1.96,0.37,-5.71
1.9-24,832.533,5.42,A09,Phe,A14,281,0.7,27.9,0.06,0.5,23.9,0.04,0.4,30.8,0.03,27.54,3.47,0.04,0.01,-7.35
1.9-25,834.512,3.65,A09,Phe,A15,258,32.7,7.9,3.21,39.6,7.6,4.08,34.5,8.8,3.43,8.13,0.6,3.57,0.45,-5.45
1.9-26,841.497,3.98,A09,Phe,A16,236,25.9,11.7,2.42,29.9,11.1,2.88,28.7,13,2.74,11.95,0.97,2.68,0.23,-5.57
1.9-27,844.497,4.01,A09,2-Nal,A11,269,3,12.2,0.24,0.9,10.3,0.07,0.7,13.3,0.06,11.95,1.5,0.13,0.1,-6.9
1.9-28,854.517,5.59,A09,Phe,A17,274,0.8,26.3,0.07,0.4,23.2,0.03,0.5,29,0.04,26.17,2.86,0.05,0.02,-7.34
1.9-29,856.497,4.86,A09,Phe,A18,274,1.4,24.5,0.11,0.6,23.2,0.05,0.7,29.3,0.05,25.66,3.21,0.07,0.03,-7.14
1.9-30,856.533,5.92,A09,2-Nal,A12,281,0.2,37.1,0.02,0.1,36.7,0.01,0.1,41.5,0.01,38.44,2.69,0.01,0.01,-7.96
1.9-31,858.524,4.24,A09,Phe,A19,253,23,9.2,2.12,26.9,8.9,2.54,24.2,10.1,2.24,9.41,0.65,2.3,0.22,-5.64
1.9-32,861.523,2.94,A09,Phe,A20,249,17.9,35.2,1.59,24.9,34,2.32,20.8,41.1,1.89,36.76,3.78,1.93,0.36,-5.71
1.9-33,876.502,5.72,A09,2-Nal,A13,278,0.2,52.2,0.02,0.1,44.9,0.01,0.1,48.5,0.01,48.53,3.68,0.01,0.01,-7.88
1.9-34,882.549,6.33,A09,2-Nal,A14,288,0,61.7,0,0,52.7,0,0,62.4,0,58.92,5.44,0,0,?
1.9-35,884.528,4.56,A09,2-Nal,A15,266,4.2,15.4,0.35,2.1,13,0.17,1.9,15.7,0.16,14.69,1.48,0.23,0.11,-6.64
1.9-36,891.513,4.89,A09,2-Nal,A16,245,3.1,19.8,0.25,0.4,17.1,0.03,0.8,20.3,0.07,19.06,1.71,0.12,0.12,-6.93
1.9-37,904.533,6.5,A09,2-Nal,A17,281,0,48.4,0,0,41.5,0,0,48.9,0,46.27,4.12,0,0,?
1.9-38,906.512,5.77,A09,2-Nal,A18,281,0.1,47.1,0.01,0,40.3,0,0.1,47,0,44.79,3.91,0.01,0,-8.27
1.9-39,908.539,5.15,A09,2-Nal,A19,262,3,14.2,0.25,1.1,12.3,0.09,1.1,14.5,0.09,13.65,1.19,0.14,0.09,-6.85
1.9-40,911.539,3.85,A09,2-Nal,A20,258,6.8,8.5,0.57,4.5,7.8,0.37,4.3,8.3,0.36,8.2,0.35,0.43,0.12,-6.36
1.10-01,751.45,1.59,A10,Ala,A11,224,3.6,93.9,0.29,4,94.8,0.33,3.8,94.9,0.31,94.55,0.58,0.31,0.02,-6.51
1.10-02,763.487,3.5,A10,Ala,A12,243,60.7,67.2,7.57,65,72.2,8.5,66.1,74.8,8.76,71.43,3.86,8.28,0.63,-5.08
1.10-03,783.455,3.3,A10,Ala,A13,239,47.3,57.9,5.19,50,61,5.61,51.6,61.9,5.88,60.27,2.14,5.56,0.35,-5.26
1.10-04,789.502,3.9,A10,Ala,A14,250,69.6,35.8,9.64,72.7,39,10.51,74.1,41.5,10.93,38.75,2.83,10.36,0.66,-4.98
1.10-05,791.481,2.14,A10,Ala,A15,223,2.5,94.9,0.2,2.8,96.8,0.23,2.7,97,0.22,96.22,1.11,0.22,0.01,-6.67
1.10-06,793.497,2.82,A10,Leu,A11,245,48.6,62.7,5.39,53.8,68.1,6.25,53.7,71.4,6.23,67.41,4.4,5.96,0.49,-5.23
1.10-07,798.466,2.47,A10,Ala,A16,205,1.9,99.3,0.16,2.3,104.5,0.19,2,105.7,0.16,103.19,3.4,0.17,0.01,-6.77
1.10-08,805.533,4.73,A10,Leu,A12,263,25.6,9.2,2.39,27.6,9.4,2.62,28.8,9.6,2.75,9.38,0.21,2.59,0.18,-5.59
1.10-09,811.487,4.08,A10,Ala,A17,245,59.5,42.7,7.31,66.1,45.7,8.76,67.7,49.8,9.15,46.08,3.55,8.41,0.97,-5.08
1.10-10,813.466,3.35,A10,Ala,A18,243,36.2,38.4,3.64,40.9,39.4,4.26,42.4,42.3,4.46,40.04,1.98,4.12,0.43,-5.38
1.10-11,815.493,2.73,A10,Ala,A19,222,2.4,94.1,0.2,3.1,94.8,0.25,2.5,95,0.21,94.65,0.49,0.22,0.03,-6.66
1.10-12,818.492,1.43,A10,Ala,A20,217,0.4,98.4,0.03,0.5,105.3,0.04,0.4,109.3,0.03,104.3,5.52,0.04,0,-7.45
1.10-13,825.502,4.53,A10,Leu,A13,259,22.9,13.2,2.11,23.4,13.4,2.16,25,14.2,2.33,13.62,0.54,2.2,0.12,-5.66
1.10-14,827.481,3.14,A10,Phe,A11,247,45.4,36,4.89,51.1,36.7,5.79,52.2,39.5,5.97,37.39,1.89,5.55,0.58,-5.26
1.10-15,831.549,5.14,A10,Leu,A14,271,5.3,13.4,0.44,6.2,13.3,0.52,6.2,13.4,0.52,13.38,0.07,0.49,0.05,-6.31
1.10-16,833.528,3.37,A10,Leu,A15,242,37.9,65.9,3.85,42.1,71.1,4.43,41.3,73.1,4.31,70.02,3.72,4.2,0.3,-5.38
1.10-17,839.518,5.06,A10,Phe,A12,263,0,14.5,0,0,13.9,0,4.5,14.7,0.37,14.37,0.4,0.12,0.22,-6.9
1.10-18,840.513,3.7,A10,Leu,A16,220,24.5,73.6,2.28,29.5,75,2.83,27.8,77,2.64,75.19,1.74,2.58,0.28,-5.59
1.10-19,853.533,5.31,A10,Leu,A17,263,5.7,15.8,0.48,7.5,15.4,0.63,7.2,16,0.61,15.73,0.3,0.57,0.08,-6.24
1.10-20,855.513,4.58,A10,Leu,A18,260,5.9,18.7,0.5,8.8,17.8,0.74,6.5,19.1,0.54,18.53,0.64,0.59,0.13,-6.23
1.10-21,857.54,3.96,A10,Leu,A19,239,18.2,66.1,1.63,21.7,68.9,1.98,20.5,70.2,1.86,68.4,2.09,1.82,0.18,-5.74
1.10-22,859.487,4.86,A10,Phe,A13,260,3.7,24,0.31,4.6,23,0.38,4.4,24.5,0.36,23.83,0.78,0.35,0.04,-6.46
1.10-23,860.539,2.66,A10,Leu,A20,233,5.2,96,0.43,7,98.6,0.59,5.8,102.3,0.49,98.94,3.13,0.5,0.08,-6.3
1.10-24,865.533,5.46,A10,Phe,A14,271,1,27.8,0.08,1.7,26.5,0.14,1.5,27.2,0.12,27.17,0.64,0.11,0.03,-6.95
1.10-25,867.513,3.69,A10,Phe,A15,245,36.2,36.8,3.64,40.7,38.8,4.23,40.5,42.1,4.21,39.23,2.71,4.03,0.34,-5.4
1.10-26,874.497,4.03,A10,Phe,A16,223,20.3,44.7,1.84,23.4,46.7,2.16,23.5,47.1,2.16,46.17,1.31,2.05,0.19,-5.69
1.10-27,877.497,4.05,A10,2-Nal,A11,256,7,17.4,0.58,8.3,18.3,0.7,8.6,19.2,0.73,18.3,0.92,0.67,0.08,-6.17
1.10-28,887.518,5.63,A10,Phe,A17,263,0,25.3,0,0,25,0,0,25.4,0,25.22,0.19,0,0,?
1.10-29,889.497,4.9,A10,Phe,A18,262,1.5,28.4,0.12,2.7,28.7,0.22,1.7,29,0.14,28.69,0.33,0.16,0.05,-6.79
1.10-30,889.533,5.97,A10,2-Nal,A12,271,0.1,39.6,0.01,0.3,38.4,0.03,0.1,38.4,0.01,38.78,0.67,0.02,0.01,-7.8
1.10-31,891.524,4.28,A10,Phe,A19,240,20.8,39,1.89,24.3,39.9,2.26,23.7,41.1,2.19,39.98,1.01,2.11,0.2,-5.68
1.10-32,894.524,2.99,A10,Phe,A20,236,10.2,80.3,0.87,12.6,86.5,1.09,11.3,88.3,0.97,85,4.18,0.98,0.11,-6.01
1.10-33,909.502,5.76,A10,2-Nal,A13,268,0.4,50.7,0.04,0.8,49.5,0.07,0.4,48.9,0.03,49.68,0.9,0.05,0.02,-7.34
1.10-34,915.549,6.37,A10,2-Nal,A14,278,0.2,53.9,0.01,0.2,53.5,0.02,0.1,51.7,0.01,53.04,1.2,0.01,0,-7.83
1.10-35,917.528,4.6,A10,2-Nal,A15,254,5.1,18.8,0.42,6.8,18,0.57,6.5,19.9,0.54,18.88,0.91,0.51,0.08,-6.29
1.10-36,924.513,4.93,A10,2-Nal,A16,233,4.3,21.1,0.36,5.1,20.5,0.42,4.7,22.9,0.39,21.5,1.23,0.39,0.03,-6.41
1.10-37,937.533,6.54,A10,2-Nal,A17,271,0.2,48.4,0.01,0.3,45.9,0.02,0.2,46.2,0.01,46.79,1.36,0.02,0,-7.8
1.10-38,939.513,5.81,A10,2-Nal,A18,271,0.2,46.7,0.02,0.4,44.7,0.03,0.2,46.4,0.02,45.93,1.06,0.02,0.01,-7.68
1.10-39,941.54,5.19,A10,2-Nal,A19,249,2.6,18.8,0.21,3.9,17.8,0.32,3,19.4,0.25,18.65,0.8,0.26,0.06,-6.58
1.10-40,944.539,3.9,A10,2-Nal,A20,245,9.2,27.5,0.78,11.3,27.4,0.97,9.9,29.2,0.85,28.02,0.98,0.87,0.1,-6.06
